Station,DataCenter,Start,End,Site,Latitude,Longitude,Elevation
KRES,IRISDMC,2014-05-01,2016-12-31,KRES,47.758739,-122.29097,52
MA05,IRISDMC,2014-05-01,2016-12-31,MA05,46.754669,-122.226189,488
MB05,IRISDMC,2014-05-01,2016-12-31,MB05,46.620869,-122.281021,641
MB07,IRISDMC,2014-05-01,2016-12-31,MB07,46.623779,-122.042389,878
